type,date,latitude,longitude,gender,age_range,self_defined_ethnicity,officer_defined_ethnicity,legislation,object_of_search,outcome,outcome_linked_to_object_of_search,source_month,year,month,time,has_location
Person search,2024-09-19 17:33:00+00:00,54.281051,-0.403647,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,Yes,2024-09,2024,9,17,True
Person search,2024-09-20 15:37:00+00:00,53.852759,-1.349605,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,Yes,2024-09,2024,9,15,True
Person and Vehicle search,2024-09-20 21:56:00+00:00,53.974701,-1.075575,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Not Specified,No,2024-09,2024,9,21,True
Person search,2024-09-22 18:42:00+00:00,54.487541,-0.634212,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,18,True
Person and Vehicle search,2024-09-23 21:17:00+00:00,54.442853,-1.666523,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,Yes,2024-09,2024,9,21,True
Person search,2024-09-25 00:04:00+00:00,53.96311,-1.102109,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Not Specified,No,2024-09,2024,9,0,True
Person search,2024-09-25 10:17:00+00:00,53.959053,-1.079183,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,10,True
Person search,2024-09-25 14:55:00+00:00,54.271981,-0.403808,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,Yes,2024-09,2024,9,14,True
Person search,2024-09-26 04:13:00+00:00,53.941936,-1.128066,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,Yes,2024-09,2024,9,4,True
Person search,2024-09-27 07:24:00+00:00,53.951793,-1.08655,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,7,True
Person search,2024-09-27 08:05:00+00:00,53.976082,-1.083366,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,8,True
Person search,2024-09-27 22:55:00+00:00,54.35942,-1.709547,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Police and Criminal Evidence Act 1984 (section 1),Not Specified,Not Specified,No,2024-09,2024,9,22,True
Person and Vehicle search,2024-09-27 23:25:00+00:00,54.35942,-1.709547,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Not Specified,Not Specified,No,2024-09,2024,9,23,True
Person and Vehicle search,2024-09-27 23:25:00+00:00,54.35942,-1.709547,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Not Specified,Not Specified,No,2024-09,2024,9,23,True
Person and Vehicle search,2024-09-28 09:42:00+00:00,53.991214,-1.507751,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Not Specified,No,2024-09,2024,9,9,True
Person and Vehicle search,2024-09-28 09:42:00+00:00,53.991214,-1.507751,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Not Specified,No,2024-09,2024,9,9,True
Person and Vehicle search,2024-09-28 11:43:00+00:00,53.985096,-1.491154,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Not Specified,No,2024-09,2024,9,11,True
Person search,2024-09-28 21:32:00+00:00,53.784246,-1.069263,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,Yes,2024-09,2024,9,21,True
Person and Vehicle search,2024-09-29 01:15:00+00:00,54.283863,-0.403026,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,1,True
Person and Vehicle search,2024-09-29 01:15:00+00:00,54.283863,-0.403026,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,1,True
Person search,2024-09-29 01:32:00+00:00,,,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,1,False
Person search,2024-09-29 01:32:00+00:00,54.289852,-0.406021,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,1,True
Person search,2024-09-29 15:33:00+00:00,53.955788,-1.124486,Female,25-34,White - Irish,Not Specified,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,Yes,2024-09,2024,9,15,True
Person search,2024-09-30 00:59:00+00:00,53.956563,-1.08387,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,0,True
